Rank,Final Score,Similarity,Quality,Dynamic Weight,Hyperedge Name
1,0.822,0.873,0.702,0.874,<hyperedge>Relation_13
2,0.803,0.863,0.774,0.695,<hyperedge>Relation_11
3,0.773,0.938,0.546,0.704,<hyperedge>Relation_12
4,0.711,0.931,0.519,0.451,<hyperedge>Relation_9
5,0.703,0.792,0.696,0.494,<hyperedge>Relation_19
6,0.692,0.760,0.758,0.425,<hyperedge>Relation_14
7,0.692,0.864,0.304,0.843,<hyperedge>Relation_7
8,0.688,0.600,0.779,0.772,<hyperedge>Relation_2
9,0.684,0.901,0.357,0.632,<hyperedge>Relation_3
10,0.675,0.786,0.537,0.604,<hyperedge>Relation_17
11,0.673,0.544,0.851,0.732,<hyperedge>Relation_10
12,0.661,0.814,0.521,0.486,<hyperedge>Relation_8
13,0.658,0.828,0.406,0.609,<hyperedge>Relation_20
14,0.650,0.745,0.443,0.724,<hyperedge>Relation_6
15,0.622,0.594,0.474,0.915,<hyperedge>Relation_18
16,0.599,0.788,0.316,0.551,<hyperedge>Relation_1
17,0.536,0.603,0.488,0.444,<hyperedge>Relation_15
18,0.536,0.512,0.429,0.757,<hyperedge>Relation_5
19,0.525,0.513,0.442,0.678,<hyperedge>Relation_4
20,0.523,0.605,0.366,0.553,<hyperedge>Relation_16
